Vendor,Material,Quality Score,Evaluate,Accum Delivery,Sampling
500000593,P000000038,10121,Pass Through 100%,27,No Sampling
500000593,P000000040,11120,Pass Through 100%,22,No Sampling
500000593,P000000043,10121,Pass Through 100%,16,No Sampling
500000593,P000000044,10121,Pass Through 100%,19,No Sampling
500000593,P000000279,10121,Pass Through 100%,18,No Sampling
500000593,P000000284,10121,Pass Through 100%,20,No Sampling
500000593,P000000371,10121,Pass Through 100%,18,No Sampling
500000593,P000000383,11120,Pass Through 100%,17,No Sampling
500000593,P000000540,10121,Pass Through 100%,16,No Sampling
500000593,P000000565,10121,Pass Through 100%,117,No Sampling
500001221,P000001292,10121,Pass Through 100%,19,No Sampling
500001221,P000001316,10121,Pass Through 100%,29,No Sampling
500001221,P000001318,10121,Pass Through 100%,16,No Sampling
500001221,P000001320,10121,Pass Through 100%,27,No Sampling
500001221,P000001338,10121,Pass Through 100%,26,No Sampling
500001221,P000001342,10121,Pass Through 100%,26,No Sampling
500001221,P000001343,10121,Pass Through 100%,24,No Sampling
500001221,P000001354,10121,Pass Through 100%,44,No Sampling
500001221,P000001357,10121,Pass Through 100%,17,No Sampling
500001221,P000001359,10121,Pass Through 100%,16,No Sampling
500001221,P000001360,10121,Pass Through 100%,24,No Sampling
500001221,P000001663,10121,Pass Through 100%,16,No Sampling
500001221,P000002097,10121,Pass Through 100%,15,No Sampling
500001221,P000002289,10121,Pass Through 100%,31,No Sampling
500001221,P000002331,10121,Pass Through 100%,30,No Sampling
500001221,P000002334,10121,Pass Through 100%,24,No Sampling
500001221,P000004601,10121,Pass Through 100%,20,No Sampling
500001437,P000000038,10121,Pass Through 100%,39,No Sampling
500001437,P000000362,10121,Pass Through 100%,38,No Sampling
500001437,P000000367,11120,Pass Through 100%,22,No Sampling
500001437,P000000368,11120,Pass Through 100%,60,No Sampling
500001437,P000000370,10121,Pass Through 100%,19,No Sampling
500001437,P000000371,11120,Pass Through 100%,69,No Sampling
